date,fund,return
2022-01-03,Equity Equal Weight,0.00789353
2022-01-04,Equity Equal Weight,0.00828733
2022-01-05,Equity Equal Weight,-0.00981102
2022-01-06,Equity Equal Weight,0.00059638
2022-01-07,Equity Equal Weight,0.00139307
2022-01-10,Equity Equal Weight,-0.00652493
2022-01-11,Equity Equal Weight,0.01010867
2022-01-12,Equity Equal Weight,0.00280886
2022-01-13,Equity Equal Weight,-0.00502358
2022-01-14,Equity Equal Weight,0.0018072
2022-01-18,Equity Equal Weight,-0.01076197
2022-01-19,Equity Equal Weight,-0.00678442
2022-01-20,Equity Equal Weight,-0.01186206
2022-01-21,Equity Equal Weight,-0.01293096
2022-01-24,Equity Equal Weight,0.00230746
2022-01-25,Equity Equal Weight,-0.00338944
2022-01-26,Equity Equal Weight,-0.00884844
2022-01-27,Equity Equal Weight,-0.00341178
2022-01-28,Equity Equal Weight,0.01688626
2022-01-31,Equity Equal Weight,0.01402164
2022-02-01,Equity Equal Weight,0.01095026
2022-02-02,Equity Equal Weight,0.0099917
2022-02-03,Equity Equal Weight,-0.00951383
2022-02-04,Equity Equal Weight,-0.00096509
2022-02-07,Equity Equal Weight,0.00232665
2022-02-08,Equity Equal Weight,0.00402512
2022-02-09,Equity Equal Weight,0.01260679
2022-02-10,Equity Equal Weight,-0.01692212
2022-02-11,Equity Equal Weight,-0.0102068
2022-02-14,Equity Equal Weight,-0.00634101
2022-02-15,Equity Equal Weight,0.01047014
2022-02-16,Equity Equal Weight,-0.00045211
2022-02-17,Equity Equal Weight,-0.01523585
2022-02-18,Equity Equal Weight,-0.00840902
2022-02-22,Equity Equal Weight,-0.00663616
2022-02-23,Equity Equal Weight,-0.01144476
2022-02-24,Equity Equal Weight,0.00664616
2022-02-25,Equity Equal Weight,0.02542752
2022-02-28,Equity Equal Weight,-0.0021956
2022-03-01,Equity Equal Weight,-0.01289623
2022-03-02,Equity Equal Weight,0.01978062
2022-03-03,Equity Equal Weight,-0.00084185
2022-03-04,Equity Equal Weight,0.00181697
2022-03-07,Equity Equal Weight,-0.0177675
2022-03-08,Equity Equal Weight,-0.00445166
2022-03-09,Equity Equal Weight,0.01501963
2022-03-10,Equity Equal Weight,-0.00088106
2022-03-11,Equity Equal Weight,-0.00832116
2022-03-14,Equity Equal Weight,-0.00952143
2022-03-15,Equity Equal Weight,0.00982101
2022-03-16,Equity Equal Weight,0.01583015
2022-03-17,Equity Equal Weight,0.01456937
2022-03-18,Equity Equal Weight,0.00490069
2022-03-21,Equity Equal Weight,0.0036164
2022-03-22,Equity Equal Weight,0.00554693
2022-03-23,Equity Equal Weight,-0.00967533
2022-03-24,Equity Equal Weight,0.01077571
2022-03-25,Equity Equal Weight,0.0090124
2022-03-28,Equity Equal Weight,0.00084655
2022-03-29,Equity Equal Weight,0.01242194
2022-03-30,Equity Equal Weight,-0.00427987
2022-03-31,Equity Equal Weight,-0.01461286
2022-04-01,Equity Equal Weight,0.00618613
2022-04-04,Equity Equal Weight,0.00238513
2022-04-05,Equity Equal Weight,-0.01069834
2022-04-06,Equity Equal Weight,-0.00126332
2022-04-07,Equity Equal Weight,0.00161024
2022-04-08,Equity Equal Weight,0.00315413
2022-04-11,Equity Equal Weight,-0.01184045
2022-04-12,Equity Equal Weight,-0.00086021
2022-04-13,Equity Equal Weight,0.00911169
2022-04-14,Equity Equal Weight,-0.00215761
2022-04-18,Equity Equal Weight,0.00085613
2022-04-19,Equity Equal Weight,0.01251412
2022-04-20,Equity Equal Weight,0.00150087
2022-04-21,Equity Equal Weight,-0.01236558
2022-04-22,Equity Equal Weight,-0.02310688
2022-04-25,Equity Equal Weight,-0.00256232
2022-04-26,Equity Equal Weight,-0.02058995
2022-04-27,Equity Equal Weight,0.00045328
2022-04-28,Equity Equal Weight,0.01759698
2022-04-29,Equity Equal Weight,-0.03513723
2022-05-02,Equity Equal Weight,0.00428275
2022-05-03,Equity Equal Weight,0.00641925
2022-05-04,Equity Equal Weight,0.03059748
2022-05-05,Equity Equal Weight,-0.02522333
2022-05-06,Equity Equal Weight,-0.00373481
2022-05-09,Equity Equal Weight,-0.03505511
2022-05-10,Equity Equal Weight,-0.00435016
2022-05-11,Equity Equal Weight,-0.00341813
2022-05-12,Equity Equal Weight,0.00220331
2022-05-13,Equity Equal Weight,0.02229112
2022-05-16,Equity Equal Weight,0.00131817
2022-05-17,Equity Equal Weight,0.01945054
2022-05-18,Equity Equal Weight,-0.02801387
2022-05-19,Equity Equal Weight,-0.00182283
2022-05-20,Equity Equal Weight,0.00068598
2022-05-23,Equity Equal Weight,0.01929059
2022-05-24,Equity Equal Weight,0.00041605
2022-05-25,Equity Equal Weight,0.00893493
2022-05-26,Equity Equal Weight,0.01523443
2022-05-27,Equity Equal Weight,0.01958241
2022-05-31,Equity Equal Weight,-0.00768683
2022-06-01,Equity Equal Weight,-0.00524809
2022-06-02,Equity Equal Weight,0.01466648
2022-06-03,Equity Equal Weight,-0.00828169
2022-06-06,Equity Equal Weight,-0.00047266
2022-06-07,Equity Equal Weight,0.01021256
2022-06-08,Equity Equal Weight,-0.01288875
2022-06-09,Equity Equal Weight,-0.02355902
2022-06-10,Equity Equal Weight,-0.0257252
2022-06-13,Equity Equal Weight,-0.04038529
2022-06-14,Equity Equal Weight,-0.00649144
2022-06-15,Equity Equal Weight,0.01089565
2022-06-16,Equity Equal Weight,-0.02883303
2022-06-17,Equity Equal Weight,-0.00401295
2022-06-21,Equity Equal Weight,0.02128315
2022-06-22,Equity Equal Weight,-0.00343615
2022-06-23,Equity Equal Weight,0.00253384
2022-06-24,Equity Equal Weight,0.02872286
2022-06-27,Equity Equal Weight,-0.00309912
2022-06-28,Equity Equal Weight,-0.00951055
2022-06-29,Equity Equal Weight,-0.00510862
2022-06-30,Equity Equal Weight,-0.00757004
2022-07-01,Equity Equal Weight,0.01073505
2022-07-05,Equity Equal Weight,-0.00629393
2022-07-06,Equity Equal Weight,-0.00013597
2022-07-07,Equity Equal Weight,0.0141102
2022-07-08,Equity Equal Weight,-0.00332769
2022-07-11,Equity Equal Weight,-0.00758162
2022-07-12,Equity Equal Weight,-0.00386193
2022-07-13,Equity Equal Weight,-0.00372697
2022-07-14,Equity Equal Weight,-0.00416321
2022-07-15,Equity Equal Weight,0.01860882
2022-07-18,Equity Equal Weight,-0.0032098
2022-07-19,Equity Equal Weight,0.02738512
2022-07-20,Equity Equal Weight,0.00265214
2022-07-21,Equity Equal Weight,0.00535106
2022-07-22,Equity Equal Weight,-0.00494395
2022-07-25,Equity Equal Weight,0.0035859
2022-07-26,Equity Equal Weight,-0.00485966
2022-07-27,Equity Equal Weight,0.01169157
2022-07-28,Equity Equal Weight,0.01034516
2022-07-29,Equity Equal Weight,0.00970618
2022-08-01,Equity Equal Weight,-0.00161676
2022-08-02,Equity Equal Weight,-0.00976378
2022-08-03,Equity Equal Weight,0.00634897
2022-08-04,Equity Equal Weight,-0.0016205
2022-08-05,Equity Equal Weight,0.0015886
2022-08-08,Equity Equal Weight,-0.00012186
2022-08-09,Equity Equal Weight,-0.00080597
2022-08-10,Equity Equal Weight,0.01673915
2022-08-11,Equity Equal Weight,0.00592627
2022-08-12,Equity Equal Weight,0.01486925
2022-08-15,Equity Equal Weight,0.00433457
2022-08-16,Equity Equal Weight,0.00295907
2022-08-17,Equity Equal Weight,-0.0081426
2022-08-18,Equity Equal Weight,0.00399189
2022-08-19,Equity Equal Weight,-0.0088085
2022-08-22,Equity Equal Weight,-0.01933968
2022-08-23,Equity Equal Weight,0.00197934
2022-08-24,Equity Equal Weight,0.0023559
2022-08-25,Equity Equal Weight,0.01385521
2022-08-26,Equity Equal Weight,-0.02769035
2022-08-29,Equity Equal Weight,-0.00381473
2022-08-30,Equity Equal Weight,-0.01336454
2022-08-31,Equity Equal Weight,-0.00734665
2022-09-01,Equity Equal Weight,-0.00068776
2022-09-02,Equity Equal Weight,-0.00952345
2022-09-06,Equity Equal Weight,-0.00396084
2022-09-07,Equity Equal Weight,0.01591257
2022-09-08,Equity Equal Weight,0.00606654
2022-09-09,Equity Equal Weight,0.01464306
2022-09-12,Equity Equal Weight,0.00848482
2022-09-13,Equity Equal Weight,-0.04004931
2022-09-14,Equity Equal Weight,0.00313186
2022-09-15,Equity Equal Weight,-0.01617154
2022-09-16,Equity Equal Weight,-0.00724714
2022-09-19,Equity Equal Weight,0.00623659
2022-09-20,Equity Equal Weight,-0.01557245
2022-09-21,Equity Equal Weight,-0.01695516
2022-09-22,Equity Equal Weight,-0.00926574
2022-09-23,Equity Equal Weight,-0.02221842
2022-09-26,Equity Equal Weight,-0.01606269
