sector,attention_quintile,n_days,mean_forward_vol_annualised
Comm,Q1 (least news),1005,0.257946146263997
Comm,Q2,1208,0.2559860412653243
Comm,Q3,931,0.24526913603054692
Comm,Q4,1195,0.25966393917067415
Comm,Q5 (most news),597,0.24003985907633565
Consumer,Q1 (least news),64,0.210810059778678
Consumer,Q2,388,0.23441665431691452
Consumer,Q3,946,0.22906494303128005
Consumer,Q4,1307,0.2402968864903016
Consumer,Q5 (most news),2289,0.2568116551198768
Energy,Q1 (least news),487,0.42584294639871356
Energy,Q2,759,0.4356449096789259
Energy,Q3,904,0.4190722132303197
Energy,Q4,1143,0.40706548678892207
Energy,Q5 (most news),1669,0.3723399984899076
Financials,Q1 (least news),379,0.26737103887502717
Financials,Q2,515,0.3089726849863021
Financials,Q3,1166,0.319483534775627
Financials,Q4,1635,0.3058356610255683
Financials,Q5 (most news),1277,0.286136111701685
Healthcare,Q1 (least news),582,0.2171545167395964
Healthcare,Q2,1001,0.21611025954947954
Healthcare,Q3,1433,0.2091611271509371
Healthcare,Q4,1260,0.20968374330736445
Healthcare,Q5 (most news),713,0.2488296579260728
Industrials,Q1 (least news),572,0.27379863002069704
Industrials,Q2,1075,0.27377548069393065
Industrials,Q3,1199,0.28286401551331375
Industrials,Q4,888,0.34471720441589293
Industrials,Q5 (most news),813,0.39606179157578136
Materials,Q1 (least news),2067,0.29377628210867596
Materials,Q2,1505,0.3043505047668298
Materials,Q3,614,0.35788595876057755
Materials,Q4,367,0.4169947767947524
Materials,Q5 (most news),135,0.38966464825566866
RealEstate,Q1 (least news),2151,0.24355791420689457
RealEstate,Q2,1431,0.25573330575320663
RealEstate,Q3,797,0.27809267582461517
RealEstate,Q4,268,0.2935211881900364
RealEstate,Q5 (most news),26,0.42288293758464895
Tech,Q1 (least news),238,0.3359778260803858
Tech,Q2,469,0.3686821871584689
Tech,Q3,850,0.39762113337341376
Tech,Q4,1128,0.3753031938434115
Tech,Q5 (most news),2008,0.4416009938882373
Utilities,Q1 (least news),2091,0.1921522363542993
Utilities,Q2,1285,0.20389778841900286
Utilities,Q3,796,0.287705854187534
Utilities,Q4,445,0.3021512650568339
Utilities,Q5 (most news),109,0.3033870164725789
